QuestionNo,Question,Option1,Option2,Option3,Option4,Option5,Answer
Qno1,"What is #include in 
CPP? ",Variable ,class ,preprossor directive ,None,,3
Qno2,,,,,,,
Qno3,,,,,,,
Qno4,,,,,,,
Qno5,,,,,,,
Qno6,,,,,,,
Qno7,,,,,,,
Qno8,,,,,,,
Qno9,,,,,,,
Qno10,,,,,,,
Qno11,,,,,,,
Qno12,,,,,,,
Qno13,,,,,,,
Qno14,,,,,,,
Qno15,,,,,,,
Qno16,,,,,,,
Qno17,,,,,,,
Qno18,,,,,,,
Qno19,,,,,,,
Qno20,,,,,,,
Qno21,,,,,,,
Qno22,,,,,,,
Qno23,,,,,,,
Qno24,,,,,,,
Qno25,,,,,,,
Qno26,,,,,,,
Qno27,,,,,,,
Qno28,,,,,,,
Qno29,,,,,,,
Qno30,,,,,,,
Qno31,,,,,,,
Qno32,,,,,,,
Qno33,,,,,,,
Qno34,,,,,,,
Qno35,,,,,,,
Qno36,,,,,,,
Qno37,,,,,,,
Qno38,,,,,,,
Qno39,,,,,,,
Qno40,,,,,,,
Qno41,,,,,,,
Qno42,,,,,,,
Qno43,,,,,,,
Qno44,,,,,,,
Qno45,,,,,,,
Qno46,,,,,,,
Qno47,,,,,,,
Qno48,,,,,,,
Qno49,,,,,,,
Qno50,,,,,,,
Qno51,,,,,,,
Qno52,,,,,,,
Qno53,,,,,,,
Qno54,,,,,,,
Qno55,,,,,,,
Qno56,,,,,,,
Qno57,,,,,,,
Qno58,,,,,,,
Qno59,,,,,,,
Qno60,,,,,,,
Qno61,,,,,,,
Qno62,,,,,,,
Qno63,,,,,,,
Qno64,,,,,,,
Qno65,,,,,,,
Qno66,,,,,,,
Qno67,,,,,,,
Qno68,,,,,,,
Qno69,,,,,,,
Qno70,,,,,,,
Qno71,,,,,,,
Qno72,,,,,,,
Qno73,,,,,,,
Qno74,,,,,,,
Qno75,,,,,,,
Qno76,,,,,,,
Qno77,,,,,,,
Qno78,,,,,,,
Qno79,,,,,,,
Qno80,,,,,,,
Qno81,,,,,,,
Qno82,,,,,,,
Qno83,,,,,,,
